Record ID,City,State,Victim Sex,Victim Age,Perpetrator Sex, Perpetrator Age,Relationship,Weapon Used
4064,San Diego,California,Male,6,Male,9,Acquaintance,Handgun
17301,Cuyahoga,Ohio,Male,12,Male,9,Acquaintance,Rifle
21748,Harris,Texas,Female,1,Male,9,Acquaintance,Drowning
22029,Carbon,Utah,Female,34,Male,9,Mother,Handgun
23625,Chicot,Arkansas,Male,8,Male,9,Neighbor,Rifle
31463,Labette,Kansas,Male,15,Male,9,Friend,Rifle
32132,La Salle,Louisiana,Male,12,Male,9,Brother,Shotgun
33278,Genesee,Michigan,Female,10,Male,9,Brother,Fire
33279,Genesee,Michigan,Male,4,Male,9,Brother,Fire
34352,Jackson,Missouri,Male,7,Male,9,Brother,Handgun
44380,Jefferson,Alabama,Female,0,Male,9,Sister,Blunt Object
47551,San Bernardino,California,Male,11,Male,9,Brother,Handgun
48145,Tulare,California,Male,14,Male,9,Unknown,Rifle
48234,Arapahoe,Colorado,Male,8,Male,9,Friend,Handgun
63363,Wilson,Texas,Male,6,Male,9,Brother,Rifle
64918,Juneau,Alaska,Female,5,Male,9,Family,Rifle
68786,Fairfield,Connecticut,Male,7,Male,9,Acquaintance,Drowning
83711,Montgomery,Virginia,Male,7,Male,9,Acquaintance,Handgun
88331,Morgan,Colorado,Male,8,Male,9,Brother,Handgun
92361,Howard,Maryland,Male,14,Male,9,Neighbor,Shotgun
94518,Halifax,North Carolina,Female,3,Male,9,Neighbor,Handgun
126899,Osceola,Florida,Male,3,Male,9,Friend,Drowning
130632,Chippewa,Michigan,Male,1,Female,9,Neighbor,Blunt Object
132777,Mecklenburg,North Carolina,Female,12,Female,9,Sister,Shotgun
137854,Brown,Texas,Male,12,Male,9,Acquaintance,Rifle
140992,Harrison,West Virginia,Female,12,Male,9,Sister,Shotgun
146072,Dade,Florida,Male,9,Male,9,Friend,Handgun
152157,Middlesex,New Jersey,Female,26,Male,9,Family,Knife
157106,Grayson,Texas,Male,19,Male,9,Brother,Rifle
160310,Bradley,Arkansas,Male,10,Male,9,Brother,Rifle
160340,Dallas,Arkansas,Male,43,Male,9,Father,Rifle
161162,Humboldt,California,Male,38,Male,9,Father,Rifle
166049,Cook,Illinois,Male,11,Male,9,Friend,Handgun
167792,Wicomico,Maryland,Male,24,Male,9,Brother,Handgun
170243,Pender,North Carolina,Male,15,Male,9,Brother,Shotgun
175066,Orangeburg,South Carolina,Male,7,Female,9,Brother,Handgun
181837,Napa,California,Female,4,Female,9,Friend,Blunt Object
193936,Monroe,Pennsylvania,Female,7,Male,9,Acquaintance,Rifle
194601,Beaufort,South Carolina,Male,13,Male,9,Friend,Rifle
194635,Cherokee,South Carolina,Male,7,Male,9,Brother,Handgun
194901,York,South Carolina,Female,2,Male,9,Family,Fire
194909,Butte,South Dakota,Male,6,Male,9,Brother,Rifle
196366,Williamson,Texas,Male,9,Male,9,Family,Handgun
202026,Mariposa,California,Male,3,Male,9,Brother,Handgun
232574,Grafton,New Hampshire,Female,4,Male,9,Sister,Handgun
256462,Mecklenburg,North Carolina,Male,9,Male,9,Friend,Shotgun
266960,Pulaski,Arkansas,Male,9,Male,9,Acquaintance,Firearm
281107,Essex,New Jersey,Female,7,Male,9,Sister,Handgun
294676,Riverside,California,Male,0,Male,9,Family,Blunt Object
297177,De Soto,Florida,Male,7,Male,9,Unknown,Knife
309196,Philadelphia,Pennsylvania,Female,0,Female,9,Family,Blunt Object
313395,King,Washington,Male,6,Male,9,Brother,Handgun
322355,Allen,Indiana,Female,13,Male,9,Sister,Shotgun
323013,Caddo,Louisiana,Female,9,Male,9,Sister,Handgun
323016,Caddo,Louisiana,Female,9,Male,9,Sister,Shotgun
